city,company,jobID,jobLink,jobTitle,province,salary,summary
Toronto,Analyticsmart,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,data analyst,ON,n/a,"Data visualization and presentation experience. Our value proposition. Excellent MS Excel skills, including VBA and Macros...."
Timmins,North Eastern Ontario Family and Children’s Servic...,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,data analyst – full-time position in timmins,ON,n/a,"You will promote effective communication venues and strategies to increase awareness and understanding of the effective application of data, program evaluation..."
North York,Tangerine Bank,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,"analyst, data science and analytics",ON,n/a,Understand complex data networks and navigate through data to get at the relevant information to inform business decisions....
Brampton,Loblaw Companies Limited,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,"analyst, master data",ON,n/a,"Location: 1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5 The decision to join a company is a big one. We have opportunities for hard working,..."
Mississauga,OSL Retail Services Inc,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,data analyst,ON,n/a,The Data Analyst is a skilled analytical professional who has significant hands-on experience with analysis and reporting....
St. Catharines,Niagara Health System,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,"data quality analyst, ft",ON,$34.76 - $39.33 an hour,"In this capacity, the Data Quality Analyst is responsible for coordinating activities designed to improve the collection of all inpatient, day surgery,..."
Toronto,Sales Beacon,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,data analyst,ON,n/a,2-5 years experience in a Data Analyst role. Compiling data from various data sources to build detailed reports....
Vaughan,Novitech Inc,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,data analyst - pipeline inspection,ON,"$40,000 - $45,000 a year",Responsible for analyzing data collected by inspection tools on client's pipelines using in-house developed software....
Vancouver,Trulioo,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,data analyst,BC,n/a,"To help continue fuel our growth, we are looking for a customer focused, goal-oriented, high-energy, Data Analyst to expand our Data Analytics team...."
Mississauga,Peel District School Board,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,statistical data analyst,ON,n/a,"We are currently accepting applications for a STATISTICAL DATA ANALYST. Identify relevant and available data; Reporting to the Chief Research Officer, Research..."
Toronto,Wave,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,data insight analyst - growth,ON,n/a,"Reporting to the Director, Business Intelligence, the Data Insights Analyst - Growth will join a team of BADASS (Business Analytics, Data Access Services &..."
Toronto,Astra NII,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,aws market data analyst,ON,n/a,"Working knowledge on other Market data providers will be good.  Proven working experience on Bloomberg, IDC , DataScope and Copp Clarke equity market data..."
Mississauga,M.W.N. Technologies Inc.,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,marketing data analyst,ON,n/a,Marketing Data Analyst. We are currently seeking a Marketing Data Analyst*. Document existing and potential data structures and data flow processes....
Brampton,Amazon.com,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,icqa data & reporting analyst,ON,n/a,"Development of data collection processes and data management systems. Initiative to develop tools, data collection processes, and data management systems...."
Newmarket,Util-Assist Inc.,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,technical data analyst / sync operator,ON,"$35,000 - $37,500 a year","Reporting to the Supervisor, the Technical Data Analyst/Sync Operator is responsible for supporting our clients with day to day analysis, ensuring data is..."
