city,province
Cartwright,Newfoundland and Labrador
Flin Flon,Manitoba
Holman,Northwest Territories
Pembroke,Ontario
Baker Lake,Nunavut
Moosonee,Ontario
Dryden,Ontario
Corner Brook,Newfoundland and Labrador
Kelowna,British Columbia
Fort Smith,Northwest Territories
Fort Severn,Ontario
Mont-Laurier,Québec
Channel-Port aux Basques,Newfoundland and Labrador
Kindersley,Saskatchewan
Igloolik,Nunavut
Hudson Bay,Saskatchewan
Courtenay,British Columbia
Mistassini,Québec
Kingston,Ontario
Eastmain,Québec
Baie-Comeau,Québec
North Bay,Ontario
North Battleford,Saskatchewan
Grise Fiord,Nunavut
Hay River,Northwest Territories
Stony Rapids,Saskatchewan
Hinton,Alberta
Toronto,Ontario
Edmonton,Alberta
Gjoa Haven,Nunavut
Fort Simpson,Northwest Territories
Naujaat,Nunavut
Lethbridge,Alberta
Sudbury,Ontario
Swift Current,Saskatchewan
Regina,Saskatchewan
Cornwall,Ontario
Taloyoak,Nunavut
Tuktoyaktuk,Northwest Territories
Deer Lake,Ontario
London,Ontario
Natashquan,Québec
Cap-Chat,Québec
Orillia,Ontario
Kenora,Ontario
Barrie,Ontario
Sherbrooke,Québec
St. Anthony,Newfoundland and Labrador
Rigolet,Newfoundland and Labrador
Fort Good Hope,Northwest Territories
La Scie,Newfoundland and Labrador
Fort St. John,British Columbia
Marathon,Ontario
Gaspé,Québec
Nelson House,Manitoba
Lillooet,British Columbia
Fort McMurray,Alberta
Jasper,Alberta
Buchans,Newfoundland and Labrador
Stettler,Alberta
La Ronge,Saskatchewan
Brochet,Manitoba
Baddeck,Nova Scotia
Pond Inlet,Nunavut
St-Augustin,Québec
Gimli,Manitoba
Red Lake,Ontario
Stephenville,Newfoundland and Labrador
Ennadai,Nunavut
Happy Valley - Goose Bay,Newfoundland and Labrador
Williams Lake,British Columbia
Prince Rupert,British Columbia
Chilliwack,British Columbia
Radisson,Québec
Churchill,Manitoba
Port Hardy,British Columbia
Penticton,British Columbia
Drummondville,Québec
Brandon,Manitoba
Argentia,Newfoundland and Labrador
Kimmirut,Nunavut
Wiarton,Ontario
Ottawa,Ontario
Fort Chipewyan,Alberta
Fort Nelson,British Columbia
Lynn Lake,Manitoba
Weyburn,Saskatchewan
Burns Lake,British Columbia
Nain,Newfoundland and Labrador
Prince George,British Columbia
Cochrane,Ontario
Nipigon,Ontario
Rivière-du-Loup,Québec
St.-Jerome,Québec
Geraldton,Ontario
New Liskeard,Ontario
Cat Lake,Ontario
Tofino,British Columbia
Tsiigehtchic,Northwest Territories
Thompson,Manitoba
Abbotsford,British Columbia
Trois-Rivières,Québec
Peterborough,Ontario
Amos,Québec
Chapleau,Ontario
Athabasca,Alberta
Red Deer,Alberta
Belleville,Ontario
Kapuskasing,Ontario
Sioux Lookout,Ontario
Winnipeg,Manitoba
Lake Louise,Alberta
Banff,Alberta
Doline,Northwest Territories
Cambridge Bay,Nunavut
Biggar,Saskatchewan
Nanaimo,British Columbia
Val d'Or,Québec
Hall Beach,Nunavut
Oxford House,Manitoba
The Pas,Manitoba
Meander River,Alberta
Bathurst,New Brunswick
Windsor,Nova Scotia
Victoriaville,Québec
Brockville,Ontario
Hamilton,Ontario
Kitchener,Ontario
Victoria,British Columbia
Orangeville,Ontario
Sandspit,British Columbia
Wawa,Ontario
Kangirsuk,Québec
Shawinigan,Québec
Hearst,Ontario
Pukatawagan,Manitoba
Arviat,Nunavut
Matagami,Québec
Saint John,New Brunswick
Inuvik,Northwest Territories
Chesterfield Inlet,Nunavut
Rouyn-Noranda,Québec
Liverpool,Nova Scotia
Montréal,Québec
Shelburne,Nova Scotia
Yarmouth,Nova Scotia
Salluit,Québec
Ivugivik,Québec
Québec,Québec
Dawson City,Yukon
Moncton,New Brunswick
Digby,Nova Scotia
Fredericton,New Brunswick
Dease Lake,British Columbia
Charlottetown,Prince Edward Island
Inukjuak,Québec
Sarnia,Ontario
Edmundston,New Brunswick
Windsor,Ontario
Joliette,Québec
Amherst,Nova Scotia
Sept-Îles,Québec
Brampton,Ontario
 Burlington,Ontario
 Burnaby,British Columbia
 Coquitlam,British Columbia
 Houston,British Columbia
 Laval,Quebec
 Leamington,Ontario
 Markham,Ontario
 Mississauga,Ontario
 Newmarket,Ontario
 North Vancouver,British Columbia
 Oakville,Ontario
 Other,Other
 Port Coquitlam,British Columbia
 Quebec City,Quebec
 Richmond,British Columbia
 Richmond Hill,Ontario
 Saanich,British Columbia
 St. Thomas,Ontario
 St.Catharines,Ontario
 Surrey,British Columbia
 Vaughan,Ontario
 Waterloo,Ontario
 Whitby,Ontario
